bulk_symbols,structure
Ga8 Fe4 O16,"Full Formula (Ga8 Fe4 O16)
Reduced Formula: Ga2FeO4
abc   :   5.776277   8.427887   5.995220
angles:  90.000134  90.003332  90.000494
pbc   :       True       True       True
Sites (28)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Ga     8e-06     0.009627   0.999998    -0
  1  Ga     0.499997  0.509646   0.500002     0
  2  Ga     0.499992  0.240374   2e-06       -0
  3  Ga     3e-06     0.740355   0.499998     0
  4  Ga    -4e-06     0.375003   0.249977    -0
  5  Ga     0.500003  0.874998   0.750023    -0
  6  Ga     0.999994  0.375004   0.750014     0
  7  Ga     0.500006  0.874997   0.249985     0
  8  Fe     0.25      0.125      0.5         -3.605
  9  Fe     0.250001  0.625     -0           -3.605
 10  Fe     0.75      0.625     -1e-06        3.605
 11  Fe     0.750001  0.125      0.5          3.605
 12  O      0.764932  0.373167   0.99998      0.033
 13  O      0.264949  0.873163   0.499986    -0.033
 14  O      0.23505   0.373162   1.1e-05     -0.033
 15  O      0.735067  0.873163   0.500031     0.033
 16  O      0.26495   0.876838   0.999989    -0.033
 17  O      0.764933  0.376837   0.499969     0.033
 18  O      0.735068  0.876833   2e-05        0.033
 19  O      0.23505   0.376836   0.500014    -0.033
 20  O      0.999996  0.610267   0.247605     0
 21  O      0.499966  0.110273   0.747625    -0
 22  O      0         0.61026    0.752381    -0
 23  O      0.500009  0.110276   0.252388     0
 24  O      0.500001  0.639739   0.247619    -0
 25  O      0.999991  0.139723   0.747613     0
 26  O      0.500004  0.639732   0.752395     0
 27  O      3.4e-05   0.139726   0.252376    -0"
Cu8 Ag8 O12,"Full Formula (Cu4 Ag4 O6)
Reduced Formula: Cu2Ag2O3
abc   :   6.842542   6.842542   6.842542
angles: 128.044266 128.044266  76.553329
pbc   :       True       True       True
Sites (14)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Cu    0.375     0.625     0.25    -0.039
  1  Cu    0.875     0.625     0.25    -0.031
  2  Cu    0.375     0.625     0.75    -0.051
  3  Cu    0.375     0.125     0.75    -0.035
  4  Ag    0.375     0.125     0.25    -0.003
  5  Ag    0.875     0.125     0.25    -0.004
  6  Ag    0.875     0.625     0.75    -0.004
  7  Ag    0.875     0.125     0.75    -0.003
  8  O     0.25      0.75      0.5     -0.024
  9  O     0.5       0.5       0       -0.024
 10  O     0.736633  0.736633  0       -0.013
 11  O     0.486633  0.986633  0.5     -0.011
 12  O     0.263367  0.263367  0       -0.011
 13  O     0.013367  0.513367  0.5     -0.013"
Ca2 O2,"Full Formula (Ca1 O1)
Reduced Formula: CaO
abc   :   3.399141   3.399141   3.399140
angles:  60.000011  60.000009  60.000009
pbc   :       True       True       True
Sites (2)
  #  SP       a     b    c    magmom
---  ----  ----  ----  ---  --------
  0  Ca    -0    -0    0           0
  1  O      0.5   0.5  0.5        -0"
Ga6 Bi6 O18,"Full Formula (Ga4 Bi4 O12)
Reduced Formula: GaBiO3
abc   :   5.153820   5.432759   9.931848
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Ga     0.5       0.75      0.358026        -0
  1  Ga     0.5       0.75      0.858026        -0
  2  Ga     0.5       0.25      0.141974        -0
  3  Ga     0.5       0.25      0.641974        -0
  4  Bi    -0         0.25      0.887786        -0
  5  Bi    -0         0.75      0.112214        -0
  6  Bi    -0         0.25      0.387786        -0
  7  Bi    -0         0.75      0.612214        -0
  8  O      0.76932   0.095428  0.052558         0
  9  O      0.23068   0.904572  0.947442         0
 10  O      0.23068   0.595428  0.447442         0
 11  O      0.76932   0.404572  0.552558         0
 12  O      0.76932   0.904572  0.447442         0
 13  O      0.358672  0         0.25            -0
 14  O      0.358672  0.5       0.75            -0
 15  O      0.76932   0.595428  0.947442         0
 16  O      0.23068   0.404572  0.052558         0
 17  O      0.641328  0.5       0.25            -0
 18  O      0.23068   0.095428  0.552558         0
 19  O      0.641328  0         0.75            -0"
Al8 Ni4 O16,"Full Formula (Al8 Ni4 O16)
Reduced Formula: Al2NiO4
abc   :   5.614233   5.727864   8.048296
angles:  90.000003  89.999998  90.000005
pbc   :       True       True       True
Sites (28)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Al     0         0.25       0.13232      0.004
  1  Al     0.5       0.75       0.63232      0.004
  2  Al    -0         0.75       0.86768      0.004
  3  Al     0.5       0.25       0.36768      0.004
  4  Al     0         0.5        0.5         -0.003
  5  Al     0.5       0         -0           -0.003
  6  Al     0         0          0.5         -0.003
  7  Al     0.5       0.5       -0           -0.003
  8  Ni     0.25      0.25       0.75         1.654
  9  Ni     0.75      0.25       0.75         1.654
 10  Ni     0.75      0.75       0.25         1.654
 11  Ni     0.25      0.75       0.25         1.654
 12  O      0         0.497212   0.265941     0.102
 13  O      0.5       0.997212   0.765941     0.102
 14  O     -0         0.002788   0.265941     0.102
 15  O      0.5       0.502788   0.765941     0.102
 16  O      0         0.997212   0.734059     0.102
 17  O      0.5       0.497212   0.234059     0.102
 18  O     -0         0.502788   0.734059     0.102
 19  O      0.5       0.002788   0.234059     0.102
 20  O      0.234333  0.75       0.504001     0.05
 21  O      0.734333  0.25       0.004001     0.05
 22  O      0.765667  0.75       0.504001     0.05
 23  O      0.265667  0.25       0.004001     0.05
 24  O      0.234333  0.25       0.495999     0.05
 25  O      0.734333  0.75       0.995999     0.05
 26  O      0.765667  0.25       0.495999     0.05
 27  O      0.265667  0.75       0.995999     0.05"
Cs12 Bi8 O18,"Full Formula (Cs12 Bi8 O18)
Reduced Formula: Cs6Bi4O9
abc   :   8.180245   9.999542  12.339082
angles: 104.254668  94.126934  92.323568
pbc   :       True       True       True
Sites (38)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.849033  0.854622  0.55268          0
  1  Cs    0.150967  0.145378  0.44732          0
  2  Cs    0.379754  0.635497  0.943794        -0
  3  Cs    0.439136  0.237128  0.740919        -0
  4  Cs    0.118053  0.960715  0.864269         0
  5  Cs    0.620049  0.55103   0.638063         0
  6  Cs    0.560864  0.762872  0.259081        -0
  7  Cs    0.881947  0.039285  0.135731         0
  8  Cs    0.932549  0.247281  0.752546         0
  9  Cs    0.620246  0.364503  0.056206        -0
 10  Cs    0.067451  0.752719  0.247454         0
 11  Cs    0.379951  0.44897   0.361937         0
 12  Bi    0.11018   0.542008  0.63256         -0
 13  Bi    0.388719  0.067689  0.145614        -0
 14  Bi    0.666106  0.16882   0.414672         0
 15  Bi    0.135608  0.357055  0.071713        -0
 16  Bi    0.88982   0.457992  0.36744         -0
 17  Bi    0.864392  0.642945  0.928287        -0
 18  Bi    0.333894  0.83118   0.585328         0
 19  Bi    0.611281  0.932311  0.854386        -0
 20  O     0.744156  0.722343  0.067269        -0
 21  O     0.2296    0.898291  0.102854         0
 22  O     0.18537   0.99019   0.632997         0
 23  O     0.899174  0.37689   0.510065        -0
 24  O     0.100826  0.62311   0.489935        -0
 25  O     0.293349  0.524258  0.145079         0
 26  O     0.255844  0.277657  0.932731        -0
 27  O     0.292697  0.725963  0.709444         0
 28  O     0.707303  0.274037  0.290556         0
 29  O     0.790293  0.781257  0.825458         0
 30  O     0.440497  0.06567   0.314735        -0
 31  O     0.81463   0.00981   0.367003         0
 32  O     0.706651  0.475742  0.854921         0
 33  O     0.209707  0.218743  0.174542         0
 34  O     0.7704    0.101709  0.897146         0
 35  O     0.288779  0.405562  0.597984         0
 36  O     0.559503  0.93433   0.685265        -0
 37  O     0.711221  0.594438  0.402016         0"
Na10 Sb2 O10,"Full Formula (Na5 Sb1 O5)
Reduced Formula: Na5SbO5
abc   :   4.396091   5.781397   6.364360
angles:  72.781780  90.030181  67.661277
pbc   :       True       True       True
Sites (11)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Na    0.678556  0.642713  0.855919         0
  1  Na    0.69971   0.601531  0.323372         0
  2  Na    0.300975  0.39896   0.67419          0
  3  Na    0.321103  0.357373  0.142282         0
  4  Na    0.995979  0.000418  0.498952         0
  5  Sb    0.009477  5.5e-05   0.998928         0
  6  O     0.131256  0.734426  0.843374        -0
  7  O     0.143253  0.712312  0.293059        -0
  8  O     0.855064  0.288029  0.70481         -0
  9  O     0.865748  0.265865  0.154422        -0
 10  O     0.49247   0.000146  0.998928         0"
V4 Rh4 O16,"Full Formula (V2 Rh2 O8)
Reduced Formula: VRhO4
abc   :   5.503880   5.503880   5.503880
angles: 106.683461 106.683461 115.203335
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  V     0.258934  0.758934  0.5         -0.002
  1  V     0.008934  0.008934  0           -0.003
  2  Rh    0.746619  0.246619  0.5          0.001
  3  Rh    0.496619  0.496619  0            0.001
  4  O     0.959183  0.766956  0.192227     0
  5  O     0.429821  0.230268  0.199553     0
  6  O     0.016956  0.324728  0.307773     0
  7  O     0.480268  0.780715  0.300447     0
  8  O     0.016956  0.709183  0.692227     0
  9  O     0.480268  0.179821  0.699553     0
 10  O     0.574728  0.766956  0.807773     0
 11  O     0.030715  0.230268  0.800447     0"
Zr2 Si2 O8,"Full Formula (Zr2 Si2 O8)
Reduced Formula: ZrSiO4
abc   :   5.558521   5.558521   5.558521
angles: 106.908003 106.908015 114.729081
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zr    0.125     0.875     0.25            -0
  1  Zr    0.875     0.125     0.75            -0
  2  Si    0.625     0.375     0.25            -0
  3  Si    0.375     0.625     0.75            -0
  4  O     0.8043    0.370277  0.065977         0
  5  O     0.738321  0.8043    0.934023         0
  6  O     0.370277  0.8043    0.565977         0
  7  O     0.8043    0.738321  0.434023         0
  8  O     0.261679  0.1957    0.065977         0
  9  O     0.1957    0.629723  0.934023         0
 10  O     0.1957    0.261679  0.565977         0
 11  O     0.629723  0.1957    0.434023         0"
Lu18 W3 O36,"Full Formula (Lu6 W1 O12)
Reduced Formula: Lu6WO12
abc   :   6.274163   6.274163   6.274164
angles:  98.805200  98.805200  98.805191
pbc   :       True       True       True
Sites (19)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Lu     0.31999   0.143917   0.610689        -0
  1  Lu     0.856083  0.389311   0.68001         -0
  2  Lu     0.610689  0.31999    0.143917        -0
  3  Lu     0.389311  0.68001    0.856083        -0
  4  Lu     0.143917  0.610689   0.31999         -0
  5  Lu     0.68001   0.856083   0.389311        -0
  6  W     -0         0         -0                0
  7  O      0.917418  0.036278   0.699264        -0
  8  O      0.300736  0.082582   0.963722        -0
  9  O      0.589017  0.17742    0.427306        -0
 10  O      0.963722  0.300736   0.082582        -0
 11  O      0.572694  0.410983   0.82258         -0
 12  O      0.17742   0.427306   0.589017        -0
 13  O      0.82258   0.572694   0.410983        -0
 14  O      0.427306  0.589017   0.17742         -0
 15  O      0.036278  0.699264   0.917418        -0
 16  O      0.410983  0.82258    0.572694        -0
 17  O      0.699264  0.917418   0.036278        -0
 18  O      0.082582  0.963722   0.300736        -0"
Mn3 Ni1 O4,"Full Formula (Mn3 Ni1 O4)
Reduced Formula: Mn3NiO4
abc   :   3.140625   5.428424   5.428424
angles: 109.567673  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a         b         c    magmom
---  ----  ---  --------  --------  --------
  0  Mn    0    0.5       0.5          4.641
  1  Mn    0.5  0.5       0            4.637
  2  Mn    0.5  0         0.5          4.638
  3  Ni    0    0         0            1.813
  4  O     0    0.246882  0.753118     0.158
  5  O     0.5  0.240882  0.240882     0.158
  6  O     0.5  0.759118  0.759118     0.158
  7  O     0    0.753118  0.246882     0.158"
Te1 Pd1 O4,
